player_id,first_name,last_name,date_of_birth,host_id,big_winner_flag
P0163,Stephanie,Williams,1971-07-02,H10,False
P0164,Donna,Watson,1993-04-02,H10,False
P0165,Tariq,Brown,1962-08-24,H06,False
P0166,Kimberly,Nelson,1960-04-29,H01,False
P0167,Margaret,Garcia,1976-10-29,H19,False
P0168,Stephanie,Andersson,1963-06-10,H07,False
P0169,Kwame,Perez,1969-05-20,H01,False
P0170,Donald,Gonzalez,1964-08-29,H16,False
P0171,Emily,Baker,1962-09-19,H10,False
P0172,Sarah,Lewis,1978-05-04,H02,False
P0173,Kenneth,Haddad,1959-06-12,H16,False
P0174,Lars,Johnson,1972-02-04,H13,False
P0175,Sharon,Howard,1989-03-31,H20,False
P0176,Susan,Bennett,1988-06-18,H16,False
P0177,Hiroshi,Moore,1961-12-14,H04,False
P0178,Jeffrey,Jones,1967-07-07,H04,False
P0179,Ronald,Bailey,1993-03-21,H17,False
P0180,Joshua,Moore,1973-08-11,H03,False
P0181,Donald,Moore,1966-04-15,H06,False
P0182,Pamela,Ward,1955-05-20,H02,False
P0183,Elena,Jones,1994-11-13,H06,False
P0184,Andrew,Robinson,1951-12-12,H20,False
P0185,Wei,Wood,1977-08-27,H20,True
P0186,Hiroshi,Wood,1969-05-18,H07,True
P0187,Donna,Garcia,1955-01-04,H05,False
P0188,Jennifer,James,1987-10-15,H13,False
P0189,Ronald,Williams,1980-05-07,H18,False
P0190,Chiara,Baker,1957-02-13,H11,False
P0191,Thomas,Williams,1959-03-14,H18,False
P0192,Kenneth,Jones,1962-02-12,H02,False
P0193,Edward,White,1952-05-14,H16,False
P0194,Sanjay,Hill,1966-03-31,H04,False
P0195,Jessica,Anderson,1964-10-14,H01,False
P0196,Mateo,Harris,1991-03-30,H08,False
P0197,Sandra,Baker,1968-02-25,H20,False
P0198,Jason,Davis,1955-08-25,H02,False
P0199,Laura,Harris,1976-10-22,H09,False
P0200,Sandra,Moore,1991-06-29,H02,False
